"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","60","Debug token value","chromium","Sat Nov 22 11:36:47 IST 2025","passed","Sat Nov 22 11:36:47 IST 2025","","ApiIntegration.spec.js","",""
"","31234","ecommerce test","firefox","Sat Nov 22 11:37:08 IST 2025","broken","Sat Nov 22 11:37:39 IST 2025","","APItest.spec.js","",""
"","14936","loginpage","webkit","Sat Nov 22 11:37:54 IST 2025","passed","Sat Nov 22 11:38:09 IST 2025","","example.spec.js","",""
"","7351","get started link","webkit","Sat Nov 22 11:37:43 IST 2025","passed","Sat Nov 22 11:37:50 IST 2025","","example.spec.js","",""
"","12","API test - verify login token","firefox","Sat Nov 22 11:37:04 IST 2025","passed","Sat Nov 22 11:37:04 IST 2025","","ApiIntegration.spec.js","",""
"","7536","get started link","firefox","Sat Nov 22 11:37:17 IST 2025","passed","Sat Nov 22 11:37:25 IST 2025","","example.spec.js","",""
"","36154","ecommerce test ZARA COAT 3","webkit","Sat Nov 22 12:14:51 IST 2025","broken","Sat Nov 22 12:15:28 IST 2025","","ProjectEcommerce.spec.js","",""
"","20449","practice test","webkit","Sat Nov 22 11:37:49 IST 2025","passed","Sat Nov 22 11:38:09 IST 2025","","example.spec.js","",""
"","37459","ecommerce test ZARA COAT 3","chromium","Sat Nov 22 12:12:57 IST 2025","broken","Sat Nov 22 12:13:35 IST 2025","","ProjectEcommerce.spec.js","",""
"","7833","has title","firefox","Sat Nov 22 11:37:08 IST 2025","passed","Sat Nov 22 11:37:16 IST 2025","","example.spec.js","",""
"","7","Debug token value","firefox","Sat Nov 22 11:37:07 IST 2025","passed","Sat Nov 22 11:37:07 IST 2025","","ApiIntegration.spec.js","",""
"","32483","ecommerce test ADIDAS ORIGINAL","webkit","Sat Nov 22 12:15:28 IST 2025","failed","Sat Nov 22 12:16:00 IST 2025","","ProjectEcommerce.spec.js","",""
"","36693","ecommerce test ADIDAS ORIGINAL","firefox","Sat Nov 22 12:14:50 IST 2025","broken","Sat Nov 22 12:15:26 IST 2025","","ProjectEcommerce.spec.js","",""
"","9761","get started link","chromium","Sat Nov 22 11:36:48 IST 2025","passed","Sat Nov 22 11:36:57 IST 2025","","example.spec.js","",""
"","28613","Locators","firefox","Sat Nov 22 11:37:27 IST 2025","passed","Sat Nov 22 11:37:55 IST 2025","","Locators.spec.js","",""
"","34480","practice test","firefox","Sat Nov 22 11:37:19 IST 2025","passed","Sat Nov 22 11:37:53 IST 2025","","example.spec.js","",""
"","10","Debug token value","webkit","Sat Nov 22 11:37:42 IST 2025","passed","Sat Nov 22 11:37:42 IST 2025","","ApiIntegration.spec.js","",""
"","11650","Home page","firefox","Sat Nov 22 11:37:23 IST 2025","passed","Sat Nov 22 11:37:35 IST 2025","","HomePage.spec.js","",""
"","15","API test - verify login token","chromium","Sat Nov 22 11:36:47 IST 2025","passed","Sat Nov 22 11:36:47 IST 2025","","ApiIntegration.spec.js","",""
"","12968","Ecommerce test","firefox","Sat Nov 22 11:37:05 IST 2025","passed","Sat Nov 22 11:37:18 IST 2025","","ApiIntegration.spec.js","",""
"","25902","loginpage","firefox","Sat Nov 22 11:37:20 IST 2025","passed","Sat Nov 22 11:37:46 IST 2025","","example.spec.js","",""
"","15","API test - verify login token","webkit","Sat Nov 22 11:37:40 IST 2025","passed","Sat Nov 22 11:37:40 IST 2025","","ApiIntegration.spec.js","",""
"","7866","has title","chromium","Sat Nov 22 11:36:47 IST 2025","passed","Sat Nov 22 11:36:55 IST 2025","","example.spec.js","",""
"","34046","ecommerce test ZARA COAT 3","firefox","Sat Nov 22 12:12:41 IST 2025","failed","Sat Nov 22 12:13:15 IST 2025","","ProjectEcommerce.spec.js","",""
"","19191","Ecommerce test","chromium","Sat Nov 22 11:36:47 IST 2025","passed","Sat Nov 22 11:37:07 IST 2025","","ApiIntegration.spec.js","",""
"","21814","loginpage","chromium","Sat Nov 22 11:36:47 IST 2025","passed","Sat Nov 22 11:37:09 IST 2025","","example.spec.js","",""
"","11594","Home page","chromium","Sat Nov 22 11:36:47 IST 2025","passed","Sat Nov 22 11:36:59 IST 2025","","HomePage.spec.js","",""
"","30343","Locators","chromium","Sat Nov 22 11:36:47 IST 2025","passed","Sat Nov 22 11:37:18 IST 2025","","Locators.spec.js","",""
"","12620","has title","webkit","Sat Nov 22 11:37:45 IST 2025","passed","Sat Nov 22 11:37:58 IST 2025","","example.spec.js","",""
"","10083","Home page","webkit","Sat Nov 22 11:38:00 IST 2025","passed","Sat Nov 22 11:38:10 IST 2025","","HomePage.spec.js","",""
"","13314","Ecommerce test","webkit","Sat Nov 22 11:37:42 IST 2025","passed","Sat Nov 22 11:37:55 IST 2025","","ApiIntegration.spec.js","",""
"","11910","ecommerce test","webkit","Sat Nov 22 11:37:41 IST 2025","passed","Sat Nov 22 11:37:53 IST 2025","","APItest.spec.js","",""
"","14835","ecommerce test","chromium","Sat Nov 22 11:36:47 IST 2025","failed","Sat Nov 22 11:37:02 IST 2025","","APItest.spec.js","",""
"","27758","Locators","webkit","Sat Nov 22 11:38:00 IST 2025","passed","Sat Nov 22 11:38:28 IST 2025","","Locators.spec.js","",""
"","33635","ecommerce test ADIDAS ORIGINAL","chromium","Sat Nov 22 12:12:29 IST 2025","failed","Sat Nov 22 12:13:02 IST 2025","","ProjectEcommerce.spec.js","",""
"","42893","practice test","chromium","Sat Nov 22 11:36:47 IST 2025","broken","Sat Nov 22 11:37:30 IST 2025","","example.spec.js","",""
